frame,method,mae,rmse,hole_ratio_pred,runtime_ms
0,hybrid_pda,nan,nan,0.0,9044.382340000084
1,hybrid_pda,nan,nan,0.0,527.5751740000487
2,hybrid_pda,nan,nan,0.0,524.5468019998043
3,hybrid_pda,nan,nan,2.1701388889239226e-06,539.9612189999061
4,hybrid_pda,nan,nan,0.0,547.7675909996833
5,hybrid_pda,nan,nan,1.0850694444064501e-06,525.7570230000965
6,hybrid_pda,nan,nan,0.0,531.0809950001385
7,hybrid_pda,nan,nan,2.1701388889239226e-06,539.7524429999976
8,hybrid_pda,nan,nan,0.0,544.4434050000382
9,hybrid_pda,nan,nan,0.0,539.8796859999493
10,hybrid_pda,nan,nan,1.0850694444064501e-06,524.538309000036
11,hybrid_pda,nan,nan,5.425347222254295e-06,538.1059389997063
12,hybrid_pda,nan,nan,1.0850694444064501e-06,525.8537320000869
13,hybrid_pda,nan,nan,1.0850694444064501e-06,537.4721180000961
14,hybrid_pda,nan,nan,3.2552083333303727e-06,532.5620670000717
15,hybrid_pda,nan,nan,3.2552083333303727e-06,543.1414300001052
16,hybrid_pda,nan,nan,0.0,527.6052570002321
17,hybrid_pda,nan,nan,1.0850694444064501e-06,542.3824979998244
18,hybrid_pda,nan,nan,7.595486111067196e-06,543.870531000266
19,hybrid_pda,nan,nan,0.0,542.3055289998047
20,hybrid_pda,nan,nan,0.0,525.386126000285
21,hybrid_pda,nan,nan,3.2552083333303727e-06,544.06285999994
22,hybrid_pda,nan,nan,0.0,546.7370689998461
23,hybrid_pda,nan,nan,0.0,526.806894999936
24,hybrid_pda,nan,nan,2.1701388889239226e-06,540.4090780002662
25,hybrid_pda,nan,nan,2.1701388889239226e-06,556.7596050000247
26,hybrid_pda,nan,nan,0.0,527.2210930002075
27,hybrid_pda,nan,nan,0.0,542.2576010000739
28,hybrid_pda,nan,nan,1.0850694444064501e-06,546.6860699998506
29,hybrid_pda,nan,nan,0.0,541.3198780001949
