frame,method,mae,rmse,hole_ratio_pred,runtime_ms
0,classical,nan,nan,0.0,667.9248179989372
0,prompt_da,nan,nan,0.0,6571.7545689985855
0,hybrid_pda,nan,nan,1.7361111111058314e-05,514.2264130008698
1,classical,nan,nan,0.0,442.6937460011686
1,prompt_da,nan,nan,0.0,458.98290500008443
1,hybrid_pda,nan,nan,7.378472222219212e-05,510.2722520005045
2,classical,nan,nan,0.0,459.33927800069796
2,prompt_da,nan,nan,0.0,628.9460739990318
2,hybrid_pda,nan,nan,5.2083333333285964e-05,591.1685220016807
3,classical,nan,nan,0.0,469.16702599992277
3,prompt_da,nan,nan,0.0,454.6138219993736
3,hybrid_pda,nan,nan,5.3168402777803436e-05,513.981911000883
4,classical,nan,nan,0.0,437.65520399938396
4,prompt_da,nan,nan,0.0,457.71462300035637
4,hybrid_pda,nan,nan,0.00017795138888887507,510.2999520004232
5,classical,nan,nan,0.0,418.3872909998172
5,prompt_da,nan,nan,0.0,451.15990299927944
5,hybrid_pda,nan,nan,3.146701388889728e-05,508.27252800081624
6,classical,nan,nan,0.0,423.5649010006455
6,prompt_da,nan,nan,0.0,453.450963999785
6,hybrid_pda,nan,nan,2.7126736111160454e-05,515.7736279998062
7,classical,nan,nan,0.0,441.8706350006687
7,prompt_da,nan,nan,0.0,450.8496729995386
7,hybrid_pda,nan,nan,5.859374999994671e-05,508.38480800121033
8,classical,nan,nan,0.0,444.87303200003225
8,prompt_da,nan,nan,0.0,450.9564119998686
8,hybrid_pda,nan,nan,1.6276041666651864e-05,504.9150249997183
9,classical,nan,nan,0.0,447.04741399982595
9,prompt_da,nan,nan,0.0,450.18865800011554
9,hybrid_pda,nan,nan,0.00020941840277777235,509.30476000030467
10,classical,nan,nan,0.0,445.8649949992832
10,prompt_da,nan,nan,0.0,452.0650720005506
10,hybrid_pda,nan,nan,0.00011935763888892836,511.9212659992627
11,classical,nan,nan,0.0,450.36511099897325
11,prompt_da,nan,nan,0.0,452.44859400008863
11,hybrid_pda,nan,nan,1.4105902777727941e-05,509.5407440003328
12,classical,nan,nan,0.0,418.6162650003098
12,prompt_da,nan,nan,0.0,453.0617680011346
12,hybrid_pda,nan,nan,0.00014865451388890172,509.18721500056563
13,classical,nan,nan,0.0,414.58423500080244
13,prompt_da,nan,nan,0.0,452.6851650007302
13,hybrid_pda,nan,nan,1.193576388891504e-05,516.8541780003579
14,classical,nan,nan,0.0,409.70168499916326
14,prompt_da,nan,nan,0.0,456.40671299952373
14,hybrid_pda,nan,nan,2.061631944449971e-05,532.3105990009935
15,classical,nan,nan,0.0,434.3302939996647
15,prompt_da,nan,nan,0.0,453.83650899930217
15,hybrid_pda,nan,nan,2.278645833331261e-05,512.9637160007405
16,classical,nan,nan,0.0,442.32478400044783
16,prompt_da,nan,nan,0.0,454.09350899899437
16,hybrid_pda,nan,nan,1.6276041666651864e-05,682.2795000007318
17,classical,nan,nan,0.0,445.96255000033125
17,prompt_da,nan,nan,0.0,625.116094999612
17,hybrid_pda,nan,nan,2.170138888890616e-05,632.4835260002146
18,classical,nan,nan,0.0,437.25402199925156
18,prompt_da,nan,nan,0.0,453.9028839990351
18,hybrid_pda,nan,nan,0.00013020833333332593,517.9150040003151
19,classical,nan,nan,0.0,457.4968729993998
19,prompt_da,nan,nan,0.0,454.10829600041325
19,hybrid_pda,nan,nan,2.061631944449971e-05,522.3328829997627
20,classical,nan,nan,0.0,440.86571400112007
20,prompt_da,nan,nan,0.0,456.8385249986022
20,hybrid_pda,nan,nan,2.4956597222236532e-05,512.527876000604
21,classical,nan,nan,0.0,439.46649899953627
21,prompt_da,nan,nan,0.0,491.00041999918176
21,hybrid_pda,nan,nan,1.8446180555575786e-05,510.45890000023064
22,classical,nan,nan,0.0,443.5215550001885
22,prompt_da,nan,nan,0.0,458.41873999961535
22,hybrid_pda,nan,nan,3.58072916666341e-05,514.7128379994683
23,classical,nan,nan,0.0,424.66976000105205
23,prompt_da,nan,nan,0.0,453.5936199990829
23,hybrid_pda,nan,nan,2.4956597222236532e-05,507.9280979989562
24,classical,nan,nan,0.0,400.58653699998104
24,prompt_da,nan,nan,0.0,454.1139739994833
24,hybrid_pda,nan,nan,5.5338541666616337e-05,509.03613599984965
25,classical,nan,nan,0.0,417.60566899938567
25,prompt_da,nan,nan,0.0,449.8891889998049
25,hybrid_pda,nan,nan,1.4105902777727941e-05,504.1671500002849
26,classical,nan,nan,0.0,418.4989059995132
26,prompt_da,nan,nan,0.0,457.70940000147675
26,hybrid_pda,nan,nan,1.5190972222245414e-05,508.7965090006037
27,classical,nan,nan,0.0,420.7893340008013
27,prompt_da,nan,nan,0.0,455.73555900045903
27,hybrid_pda,nan,nan,3.255208333330373e-05,508.27955800014024
28,classical,nan,nan,0.0,432.8214270008175
28,prompt_da,nan,nan,0.0,454.95746599954145
28,hybrid_pda,nan,nan,2.9296874999973355e-05,505.6653120009287
29,classical,nan,nan,0.0,444.06823000099394
29,prompt_da,nan,nan,0.0,453.8938160003454
29,hybrid_pda,nan,nan,0.0002029079861111116,509.62095400063845
